athlete_id,athlete_name,sport,nationality_iso3
ATH001,Mia Rossi,Football,FRA
ATH002,Viktor Petit,Swimming,ARG
ATH003,Lena Taylor,Athletics,BEL
ATH004,Laura Bianchi,Athletics,CZE
ATH005,Petra Leclerc,Swimming,JPN
ATH006,Lucas Petit,Boxing,IND
ATH007,Chris Yamamoto,Basketball,PRT
ATH008,Laura Ferreira,Athletics,FRA
ATH009,Rafael Taylor,Basketball,ITA
ATH010,Mia Dupont,Boxing,HRV
ATH011,Emma Chen,Athletics,CHE
ATH012,David Taylor,Athletics,ESP
ATH013,Katarina Petit,Swimming,HRV
ATH014,Petra Kowalski,Basketball,MEX
ATH015,Rafael Rossi,Boxing,CZE
ATH016,Thomas Ferreira,Judo,DNK
ATH017,David Petit,Boxing,HRV
ATH018,Thomas Morin,Swimming,RUS
ATH019,Ivan Kowalski,Boxing,DEU
ATH020,Julia Petit,Basketball,ITA
ATH021,Nina Garcia,Basketball,ESP
ATH022,Maria Garcia,Judo,USA
ATH023,Viktor Martinez,Judo,SRB
ATH024,Laura Andersen,Football,MEX
ATH025,Luis Petit,Basketball,GRC
ATH026,Petra Popescu,Swimming,DEU
ATH027,Lucas Garcia,Athletics,BRA
ATH028,Chris Garcia,Cycling,GRC
ATH029,Julia Garcia,Judo,BRA
ATH030,Max Smith,Cycling,BEL
ATH031,Mia Romano,Cycling,BEL
ATH032,Ana Popescu,Judo,KOR
ATH033,Lucas Leclerc,Tennis,CZE
ATH034,Maria Kowalski,Swimming,IND
ATH035,Katarina Martinez,Judo,HRV
ATH036,Lena Garcia,Judo,CHN
ATH037,Felix Yamamoto,Boxing,BRA
ATH038,Felix Romano,Basketball,MEX
ATH039,Rafael Nkosi,Athletics,ESP
ATH040,Max Morin,Basketball,GRC
ATH041,Mia Morin,Boxing,POL
ATH042,Rafael Leclerc,Judo,SRB
ATH043,Oliver Ferreira,Judo,DNK
ATH044,Elena Martinez,Tennis,FRA
ATH045,Mia Ferreira,Athletics,CAN
ATH046,Marco Russo,Judo,CZE
ATH047,Maria Leclerc,Football,NOR
ATH048,Viktor Martinez48,Tennis,CZE
ATH049,Sofia Popescu,Cycling,DNK
ATH050,Lena Eriksson,Cycling,HRV
ATH051,Oliver Yamamoto,Football,CHE
ATH052,Sara Morin,Judo,MEX
ATH053,Lucas Popescu,Basketball,DNK
ATH054,Mia Romano54,Football,AUT
ATH055,Petra Leclerc55,Swimming,RUS
ATH056,Sara Santos,Athletics,JPN
ATH057,Clara Leclerc,Swimming,GBR
ATH058,Ivan Kowalski58,Judo,NOR
ATH059,Maria Hansen,Judo,CZE
ATH060,Laura Yamamoto,Tennis,BRA
ATH061,Carlos Eriksson,Boxing,IND
ATH062,Emma Petit,Swimming,USA
ATH063,Chris Morin,Tennis,IND
ATH064,Petra Rossi,Basketball,CAN
ATH065,Maria Andersen,Athletics,ARG
ATH066,Nina Yamamoto,Boxing,POL
ATH067,Thomas Hansen,Tennis,NLD
ATH068,David Novak,Swimming,AUS
ATH069,Julia Martinez,Athletics,CHN
ATH070,Luis Müller,Judo,ZAF
ATH071,Petra Bianchi,Athletics,MEX
ATH072,Maria Hansen72,Athletics,NOR
ATH073,Chris Novak,Athletics,FRA
ATH074,Sofia Russo,Cycling,ITA
ATH075,Emma Kowalski,Boxing,DNK
ATH076,Luis Bianchi,Judo,KOR
ATH077,Katarina Morin,Swimming,ITA
ATH078,Max Eriksson,Swimming,CAN
ATH079,Maria Morin,Judo,BRA
ATH080,Mia Costa,Tennis,KOR
ATH081,Elena Romano,Judo,RUS
ATH082,Thomas Popescu,Swimming,PRT
ATH083,Ana Chen,Basketball,NLD
ATH084,Emma Russo,Cycling,AUT
ATH085,Lucas Costa,Basketball,KOR
ATH086,Petra Yamamoto,Basketball,GBR
ATH087,Mia Fischer,Judo,IND
ATH088,Julia Taylor,Football,RUS
ATH089,Carlos Bianchi,Tennis,GBR
ATH090,Luis Hansen,Athletics,PRT
ATH091,Ana Nkosi,Basketball,CAN
ATH092,David Kowalski,Tennis,CZE
ATH093,Julian Costa,Swimming,FRA
ATH094,Felix Müller,Boxing,BEL
ATH095,Mia Hernandez,Boxing,IND
ATH096,Katarina Weber,Football,CAN
ATH097,Carlos Romano,Swimming,AUS
ATH098,Luis Hernandez,Cycling,HRV
ATH099,Nina Andersen,Judo,RUS
ATH100,Luis Eriksson,Basketball,IND
ATH101,David Santos,Boxing,IND
ATH102,Ana Müller,Football,SWE
ATH103,Julian Weber,Swimming,DNK
ATH104,Oliver Novak,Cycling,JPN
ATH105,Ana Taylor,Boxing,SWE
ATH106,Oliver Nkosi,Swimming,KOR
ATH107,Carlos Garcia,Boxing,IND
ATH108,Elena Romano108,Boxing,KOR
ATH109,Katarina Fischer,Athletics,PRT
ATH110,Katarina Müller,Football,MEX
ATH111,Marco Russo111,Football,PRT
ATH112,Maria Müller,Athletics,KOR
ATH113,Viktor Popescu,Tennis,CHE
ATH114,Viktor Nkosi,Cycling,ARG
ATH115,Emma Popescu,Swimming,JPN
ATH116,Luis Hernandez116,Cycling,PRT
ATH117,Maria Nkosi,Cycling,PRT
ATH118,Chris Costa,Judo,NLD
ATH119,Maria Smith,Basketball,GRC
ATH120,Chris Fischer,Athletics,DEU
ATH121,Rafael Fischer,Swimming,IND
ATH122,Lena Santos,Athletics,HRV
ATH123,Emma Petit123,Basketball,PRT
ATH124,Felix Novak,Basketball,PRT
ATH125,Julia Chen,Judo,CHE
ATH126,Max Fischer,Judo,HRV
ATH127,Katarina Fischer127,Swimming,MEX
ATH128,Lucas Taylor,Judo,GBR
ATH129,Luis Bianchi129,Athletics,GBR
ATH130,Luis Santos,Judo,HRV
ATH131,Rafael Weber,Football,USA
ATH132,Maria Andersen132,Basketball,CHN
ATH133,Maria Dupont,Boxing,NLD
ATH134,Rafael Taylor134,Athletics,GBR
ATH135,Emma Popescu135,Boxing,NLD
ATH136,Laura Leclerc,Swimming,ESP
ATH137,Lucas Hansen,Basketball,CHE
ATH138,Rafael Popescu,Boxing,IND
ATH139,Ivan Kowalski139,Judo,MEX
ATH140,Carlos Dupont,Football,SWE
ATH141,Ana Morin,Basketball,FRA
ATH142,Lena Ferreira,Judo,JPN
ATH143,Thomas Hansen143,Judo,SRB
ATH144,Chris Weber,Swimming,MEX
ATH145,David Smith,Judo,PRT
ATH146,David Bianchi,Judo,AUT
ATH147,Lucas Morin,Football,DNK
ATH148,Ana Hansen,Basketball,NOR
ATH149,Julian Yamamoto,Basketball,IND
ATH150,Thomas Novak,Judo,FRA
ATH151,Katarina Chen,Athletics,BEL
ATH152,Julia Kowalski,Tennis,GRC
ATH153,Felix Russo,Boxing,RUS
ATH154,Nina Russo,Athletics,ITA
